Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec,RAWS
2.464516129,2.896428571,3.061290323,5.123333333,17.20666667,26.94666667,36.88064516,37.5516129,32.87,23.43548387,11.65333333,2.070967742,241802
1.829032258,1.507142857,1.722580645,2.126666667,2.353333333,11.55,30.80322581,33.11935484,29.18,11.86129032,2.823333333,0.932258065,243402
2.45483871,3.203571429,3.438709677,3.92,14.07666667,28.50666667,40.31290323,40.92903226,35.56333333,22.70645161,8.943333333,1.567741935,243206
2.819354839,3.782142857,4.058064516,4,8.123333333,22.24666667,31.42258065,31.48709677,30.14,17.81612903,6.316666667,1.190322581,242102
2.716129032,3.753571429,8.519354839,22.58,33.26666667,33.84,46.12580645,47.99032258,43.19666667,33.69677419,19.1,3.461290323,243302
3.025806452,5.457142857,12.77741935,23.3,27.48333333,31.66333333,43.22903226,44.32903226,39.14666667,27.86451613,21.61,6.025806452,241910
2.674193548,3.503571429,3.983870968,8.306666667,20.19333333,32.18333333,45.16774194,45.7483871,40.06,27.72903226,11.03666667,1.674193548,243303
1.435483871,1.135714286,1.583870968,5.946666667,19.17333333,21.63333333,30.57419355,31.71290323,28.01333333,18.83548387,7.23,1.629032258,241904
2.441935484,2.85,3.516129032,9.846666667,22.31666667,25.85,36.29354839,37.18064516,32.61333333,22.76129032,12.90666667,2.54516129,243403
2.258064516,2.757142857,7.306451613,22.56,32.82333333,33.08666667,46.42903226,45.04516129,39.68,28.31612903,18.06333333,3.590322581,241907
1.551612903,2.282142857,2.425806452,3.153333333,10.98333333,23.14333333,34.12258065,34.44193548,29.71,17.48064516,5.323333333,1.077419355,241901
