Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,RAWS
3.887096774,4.425,8.883870968,18.99,15.93666667,18.51666667,18.11935484,18.99032258,17.29,15.42903226,17.8,5.3,150703
4.567741935,4.560714286,12.35483871,19.8,16.95666667,18.76,16.17096774,17.03548387,21.35,21.55806452,19.80333333,6.683870968,159501
3.687096774,4.710714286,11.3516129,17.37333333,18.40666667,24.01,20.85483871,18.8516129,16.34,12,13.31333333,5.312903226,159801
3.464516129,3.925,11.97741935,18.98333333,17.86333333,22.60333333,19.84516129,20.36451613,19.16,14.18387097,12.89333333,4.9,157002
4.461290323,4.325,12.44193548,19.25333333,17.46,22.63666667,22.15483871,23.8,19.9,15.86774194,15.13333333,6.119354839,156502
3.116129032,3.682142857,10.88709677,21.74333333,18.65,22.39333333,17.86774194,19.12580645,19.57333333,16.71612903,19.13666667,6.451612903,156001
3.458064516,4.392857143,11.40322581,22.04,18.49,20.43,19.06129032,19.37419355,18.17,15.74193548,17.73,6.561290323,154801
5.016129032,7.807142857,12.24193548,18.04666667,15.46333333,18.82333333,20.35806452,18.27419355,17.11333333,13.59677419,13.7,6.361290323,159901
1.851612903,2.896428571,9.312903226,20.21,16.13333333,17.95,15.90645161,16.59032258,15.75,13.83548387,15.81,4.974193548,154401
2.783870968,3.385714286,6.858064516,20.50666667,17.82333333,20.2,16.30967742,17.09032258,17.24,16.39354839,16.60333333,5.770967742,152001
14.61612903,17.73571429,18.56129032,20.65666667,18.50666667,22.49666667,22.85483871,21.71290323,20.39666667,16.63225806,17.05333333,9.590322581,400101
3.741935484,4.957142857,12.88709677,19.77,18.07666667,23.17333333,23.45483871,23.28709677,19.69333333,16.95806452,15.69,6.477419355,151191
2.903225806,4.310714286,9.741935484,16.91333333,14.96666667,17.93333333,17.22903226,18.42258065,13.98,11.82258065,13.01333333,4.470967742,400902
